_id                      ,isPb ,wpm   ,acc   ,rawWpm ,consistency ,charStats    ,mode  ,mode2 ,quoteLength ,restartCount ,testDuration ,afkDuration ,incompleteTestSeconds ,punctuation ,numbers ,language ,funbox    ,difficulty ,lazyMode ,blindMode ,bailedOut ,tags ,timestamp
665f2dccca2df501929b3487 ,     ,53.62 ,93.85 , 53.62 ,      59.32 ,120;0;0;0    ,words ,   25 ,-1          ,           0 ,       26.86 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717513676000
665f2da6ca2df501929b32d4 ,     ,45.71 ,85.63 , 48.3  ,      53.17 ,141;2;0;0    ,words ,   25 ,-1          ,           0 ,       37.02 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717513638000
665f2d7fca2df501929b30fc ,     ,54.98 ,90.58 , 56.76 ,      54.05 ,123;1;0;0    ,words ,   25 ,-1          ,           0 ,       26.85 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717513599000
665f2d61ca2df501929b2f8f ,     ,67.27 ,93.43 , 69.41 ,      63.14 ,126;1;0;0    ,words ,   25 ,-1          ,           0 ,       22.48 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717513569000
665e9e93ca2df5019295887a ,     ,60.85 ,97.1  , 60.85 ,      53.24 ,132;0;0;0    ,words ,   25 ,-1          ,           0 ,       26.03 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717477011000
665e9e73ca2df50192958771 ,     ,48.45 ,81.13 , 55.32 ,      55.58 ,120;5;1;0    ,words ,   25 ,-1          ,           0 ,       29.72 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476979000
665e9e53ca2df5019295866e ,     ,51.69 ,83.46 , 62.44 ,      63.93 ,101;5;2;2    ,words ,   25 ,-1          ,           0 ,       23.45 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476947000
665e9e3aca2df501929585a4 ,     ,43.61 ,84.09 , 47.69 ,      37.93 ,107;4;1;1    ,words ,   25 ,-1          ,           0 ,       29.44 ,          6 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476922000
665e9e1bca2df501929584ae ,     ,50.43 ,86.96 , 56.34 ,      51.32 ,128;2;1;0    ,words ,   25 ,-1          ,           0 ,       30.46 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476891000
665e9dfaca2df5019295838f ,     ,44.86 ,85.14 , 51    ,      54.27 ,117;4;0;2    ,words ,   25 ,-1          ,           0 ,       31.3  ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476858000
